"date","Run","Interval","reqrate","rate","MB/sec","bytes/io","read%","resp","read_resp","write_resp","resp_max","resp_std","xfersize","threads","rdpct","rhpct","whpct","seekpct","lunsize","version","compratio","dedupratio","queue_depth","cpu_used","cpu_user","cpu_kernel","cpu_wait","cpu_idle"
"01:34:34.074","max4kcurverun","1","999977.0000","2051.0000","8.0117","4096","100.0000","121.6829","121.6829","0.0000","306.4650","64.9630","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","293.8275","n/a","n/a","n/a","n/a","n/a"
"01:34:35.010","max4kcurverun","2","999977.0000","2900.0000","11.3281","4096","100.0000","171.7862","171.7862","0.0000","314.7840","23.3621","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","499.2354","n/a","n/a","n/a","n/a","n/a"
"01:34:36.026","max4kcurverun","3","999977.0000","2993.0000","11.6914","4096","100.0000","170.2395","170.2395","0.0000","427.6800","42.4525","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","512.0193","n/a","n/a","n/a","n/a","n/a"
"01:34:37.027","max4kcurverun","4","999977.0000","3030.0000","11.8359","4096","100.0000","169.5237","169.5237","0.0000","515.0790","40.7905","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","512.5744","n/a","n/a","n/a","n/a","n/a"
"01:34:38.017","max4kcurverun","5","999977.0000","2926.0000","11.4297","4096","100.0000","173.8222","173.8222","0.0000","461.2830","28.0206","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","506.8564","n/a","n/a","n/a","n/a","n/a"
"01:34:39.015","max4kcurverun","6","999977.0000","2977.0000","11.6289","4096","100.0000","172.5808","172.5808","0.0000","432.3670","37.7587","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","512.2133","n/a","n/a","n/a","n/a","n/a"
"01:34:40.013","max4kcurverun","7","999977.0000","3016.0000","11.7813","4096","100.0000","168.5518","168.5518","0.0000","355.1100","34.0667","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","512.0445","n/a","n/a","n/a","n/a","n/a"
"01:34:41.015","max4kcurverun","8","999977.0000","2985.0000","11.6602","4096","100.0000","172.4116","172.4116","0.0000","444.1640","41.4032","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","512.5274","n/a","n/a","n/a","n/a","n/a"
"01:34:42.019","max4kcurverun","9","999977.0000","2985.0000","11.6602","4096","100.0000","171.3007","171.3007","0.0000","399.0440","39.5872","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","511.3791","n/a","n/a","n/a","n/a","n/a"
"01:34:43.016","max4kcurverun","10","999977.0000","2987.0000","11.6680","4096","100.0000","171.6471","171.6471","0.0000","359.9230","26.6981","4096","512.0000","100.0000","0.0000","0.0000","80.0000","8191.0000","n/a","n/a","n/a","511.5722","n/a","n/a","n/a","n/a","n/a"
